x,y,z,qx,qy,qz,qw
-0.3911357863848806,-0.1416189949498796,0.04541134174136073,-0.08559723932195008,-0.010330026240134054,-0.5691945167954056,0.817669863226219
-0.3911357863848806,-0.1416189949498796,0.04541134174136073,-0.08559723932195008,-0.010330026240134054,-0.5691945167954056,0.817669863226219
-0.49484585902703754,-0.17058490217703515,0.05212113069883885,-0.10040374668724533,-0.013727750283369415,-0.5750124054608059,0.8118444248065627
-0.7107975150397199,-0.25230371463021795,0.039698985867085174,-0.0963835857960381,0.006104809607991637,-0.5923237783150124,0.7998909158950214
-0.82207626771754,-0.23955829363081105,0.03595629154370216,-0.09522075447436525,0.015717109931668295,-0.6173180697072159,0.7807716575194603
-0.8544707987003559,-0.1716355792701641,-0.02927269331845707,-0.11687915781645777,0.01605874556720437,-0.6425995051057296,0.7570648949705664
-0.9426110420763365,-0.17241166314650963,-0.017768303858689938,-0.11665187229390644,0.034209356993384725,-0.6438142790914839,0.755463589210187
-1.008002532801333,-0.06824512801602822,-0.07795009976082778,-0.10706558873934341,0.0544997753796924,-0.669322409512585,0.7331945487493263
-1.1081758375976531,-0.04149569638402084,-0.04884327482975254,-0.10884139044481715,0.08027986967285992,-0.6719937136949022,0.7281024261777193
-1.1819915268817127,0.022023269651750832,0.02481999034223817,-0.10242005941642277,0.09579868761264439,-0.6632990845562989,0.7350966380739387
-1.2765020652355874,0.05082780031799117,-0.013738435962508913,-0.095497219353658,0.09112805042122897,-0.6673882565936493,0.7329180544119749
-1.2888094509241061,0.030365213954549164,-0.03500577772070937,-0.08991410442808717,0.0987898956886754,-0.670367825086409,0.7299061511068621
-1.3530557476484335,0.04420158687404385,-0.015983441210172214,-0.1013808074873191,0.10219559621740147,-0.670715179154551,0.7276119435789022
-1.411065010623071,0.04777975880064789,0.0021402343255892686,-0.11621950847282886,0.10169238760804811,-0.6696937566666956,0.7264034391676277
-1.4859512419682186,0.02016755905572032,-0.0488699765958778,-0.10709216817326751,0.08270670796041142,-0.6607482318097646,0.738310667764302
-1.4647649892791903,-0.10167505172906399,0.09852191833153182,-0.11249427503079171,0.11365333655762998,-0.6378390647110144,0.7533852166741747
-1.4884543088879685,-0.21999212888259068,0.06807219745356213,-0.09770737750473872,0.11601480297161809,-0.607133550557627,0.779988900985067
-1.534073963956802,-0.3505972846592542,0.01090029132119906,-0.08320617034457348,0.12031580457750922,-0.5804820417635341,0.801025242782957
-1.5526571102415323,-0.40646106166182117,-0.023476955781134873,-0.0732386791283461,0.1203731031259433,-0.5661080082775538,0.8121995659241559
-1.5088691858891063,-0.5434208570571676,-0.058282688345685466,-0.05914880108608565,0.10287239620092871,-0.5355441290447451,0.8361286834427241
-1.51913605576479,-0.5544452111772333,-0.02458457404817878,-0.06439181478803255,0.11347199233461547,-0.5323566093996419,0.8364055485064849
-1.561681554811362,-0.5363807628761023,-0.005674382252723861,-0.07464766959004854,0.12344692511158267,-0.5602635076307632,0.8156551870260766
-1.588158278858414,-0.48301056541341536,0.03349270864170341,-0.08909791655056991,0.12915342319645867,-0.5740201754501314,0.8036677128759028
-1.6225337012177923,-0.39266181251707644,0.14214172449317244,-0.1296351039516629,0.14835278706438365,-0.5951659372601777,0.7790787492409772
-1.6340460939032264,-0.3086892113003239,0.20055017079571194,-0.15463771490790634,0.15772062089042524,-0.6109062471914186,0.7602663612290742
-1.6537136996845112,-0.17656142871414482,0.28091118516074776,-0.17819418447057675,0.15421052535357507,-0.6370340704570144,0.7339302007466432
-1.6428745921320491,-0.15018919550239962,0.2730930245582236,-0.17911701061900007,0.1586345197577152,-0.6383994535734764,0.7315725003888807
-1.5963094018762098,-0.08839730344488761,0.2606057343480524,-0.17995556012201405,0.15704164260942335,-0.6575921797583415,0.7145113323022801
-1.5889508989630317,-0.03814857766773305,0.21697739387539103,-0.1680670980972883,0.15005775056922666,-0.6680776000220954,0.7091603784617253
-1.5784717843359617,-0.06042579237993806,0.05726878836466773,-0.12118402349024762,0.1314387079798445,-0.672047424666268,0.7186031989176928
-1.5648803588420577,-0.002520784247477814,0.0024107969988046013,-0.10211350106968937,0.1189932185918314,-0.6856647620725833,0.7108285875514538
-1.6138053380597206,0.060780275344824,-0.11997642773920832,-0.0678669006362094,0.08918332247510098,-0.7090685307483809,0.6961768722764851
-1.5758915513794018,0.11423369672800288,-0.1709144071263405,-0.05462567836161437,0.07410567400594918,-0.72240864080724,0.6853102509306961
-1.543004102205735,0.1406642433802051,-0.17191875147158572,-0.042173593257002796,0.05798364882848634,-0.7401583552520224,0.6685992025503386
-1.4870389254344811,0.10425483688607895,-0.20557153388364835,-0.03238910992416806,0.04930677177033645,-0.7360474491871156,0.6743544619568025
-1.4326534898550203,0.05210227516663479,-0.2507669161805904,-0.029381341565585042,0.03687082302350337,-0.7438925986325325,0.6666341431978366
