x,y,z,roll,pitch,yaw,time
0.0,0.0,0.0,0.0,-0.0,0.0,1598537681403899136
0.0022916095331311226,0.01278001070022583,0.022428592666983604,-0.029736412689089775,-0.007108372636139393,-0.02501750737428665,1598537681504127744
-0.014498570933938026,0.01185282040387392,0.0058954618871212006,-0.0733010694384575,-0.0070087481290102005,-0.07982145249843599,1598537681604629760
0.029327193275094032,-0.015239516273140907,-0.008789913728833199,-0.09111063927412036,-0.0018606829689815645,-0.1353506147861481,1598537681705216768
0.14745104312896729,-0.06922922283411026,-0.1226767972111702,-0.10248055309057236,0.014086646027863026,-0.1912292391061782,1598537681804939776
0.1856997013092041,-0.09366657584905624,-0.14190205931663513,-0.1112855151295662,0.013552612625062466,-0.2323502749204636,1598537681904721408
0.25304317474365234,-0.018203988671302795,-0.14320415258407593,-0.10207825154066087,-0.0015769586898386485,-0.22933663427829745,1598537682003880704
0.2709674835205078,-0.00462920218706131,-0.15316300094127655,-0.11097100377082827,-0.018859956413507458,-0.22656330466270447,1598537682103325952
0.2576455771923065,0.08262084424495697,-0.09546273201704025,-0.1029094234108925,-0.04839786887168885,-0.17564158141613012,1598537682202600960
0.2455441951751709,0.13479144871234894,-0.10085617005825043,-0.08283914625644685,-0.07412274181842805,-0.13369067013263702,1598537682301754880
0.22660799324512482,0.16133540868759155,-0.06652814894914627,-0.02969809994101524,-0.12859122455120087,-0.06683550029993059,1598537682401594880
0.21122567355632782,0.16706402599811554,-0.03538651019334793,-0.0029553815256804223,-0.1580018997192383,-0.028705645352602005,1598537682501441280
0.1948900818824768,0.11165580153465271,0.02880869060754776,0.010409824550151827,-0.17622230947017672,-0.01681553572416306,1598537682601820160
0.18981404602527618,0.12509816884994507,0.03915097936987877,0.008146581239998342,-0.166658028960228,0.01372831966727972,1598537682702421504
0.22143767774105072,0.08539726585149765,-0.007768169976770878,-0.01493528485298157,-0.1166323274374008,0.02193021401762962,1598537682802942464
0.21807827055454254,0.1129530593752861,-0.013457877561450005,-0.022381663322448734,-0.08035029470920564,0.061304051429033286,1598537682903083008
0.20589762926101685,0.12845514714717865,-0.057365767657756805,-0.03467204794287681,-0.020649708807468414,0.1072966232895851,1598537683003108864
